縣市代碼,縣市名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,95.48,2.53,1961.76,36.85,16.49,20.36,123.48,109Y06M
63000,臺北市,90.86,2.47,9654.69,46.76,19.55,27.2,139.13,109Y06M
68000,桃園市,98.37,2.71,1849.45,37.45,20.26,17.19,84.82,109Y06M
66000,臺中市,96.62,2.84,1271.81,37.69,19.44,18.24,93.82,109Y06M
67000,臺南市,99.27,2.69,856.84,39.13,16.73,22.39,133.84,109Y06M
64000,高雄市,97.46,2.49,939.02,38.85,16.33,22.52,137.85,109Y06M
10002,宜蘭縣,101.71,2.65,211.74,40.22,16.5,23.72,143.73,109Y06M
10004,新竹縣,104.14,2.8,397.19,40.78,22.78,18,79.01,109Y06M
10005,苗栗縣,106.43,2.83,298.92,41.02,17.19,23.82,138.55,109Y06M
10007,彰化縣,103.45,3.22,1181.86,40.88,17.91,22.97,128.27,109Y06M
10008,南投縣,104.58,2.75,119.99,40.82,15.09,25.72,170.41,109Y06M
10009,雲林縣,107.25,2.8,526.23,42.82,15.98,26.84,167.97,109Y06M
10010,嘉義縣,107.86,2.72,263.29,41.11,12.87,28.24,219.4,109Y06M
10013,屏東縣,103.96,2.81,293.91,39.01,14.54,24.47,168.27,109Y06M
10014,臺東縣,105.95,2.59,61.43,40.04,16.11,23.93,148.55,109Y06M
10015,花蓮縣,102.35,2.56,70.27,40.51,16.54,23.97,144.89,109Y06M
10016,澎湖縣,106.19,2.54,827.88,37.31,14.19,23.11,162.86,109Y06M
10017,基隆市,99.55,2.38,2775.92,37.59,14.18,23.41,165.06,109Y06M
10018,新竹市,97.33,2.66,4320.79,42.52,24.23,18.29,75.48,109Y06M
10020,嘉義市,93.96,2.65,4448.67,41.26,18.85,22.41,118.89,109Y06M
9020,金門縣,99.59,3.37,920.43,30,11.74,18.26,155.57,109Y06M
9007,連江縣,134.31,3.94,453.09,31.69,15.37,16.32,106.17,109Y06M
