縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,94.51,2.54,24019.53,41.74,18.46,23.28,126.08,110Y06M
65000,新北市,65000020,三重區,96.25,2.48,23507.14,37.98,15.26,22.72,148.91,110Y06M
65000,新北市,65000030,中和區,93.52,2.42,20315.48,39.65,14.45,25.2,174.4,110Y06M
65000,新北市,65000040,永和區,89.99,2.38,38184.75,46.67,17.2,29.47,171.34,110Y06M
65000,新北市,65000050,新莊區,94.98,2.61,21423.93,36.88,18.74,18.14,96.8,110Y06M
65000,新北市,65000060,新店區,92.09,2.32,2512.99,40.67,13.15,27.51,209.22,110Y06M
65000,新北市,65000070,樹林區,99.24,2.7,5518.79,36.18,17.85,18.33,102.67,110Y06M
65000,新北市,65000080,鶯歌區,100.33,2.73,4163.21,35.29,17.41,17.88,102.7,110Y06M
65000,新北市,65000090,三峽區,99.89,2.61,609.28,37.54,19.46,18.08,92.89,110Y06M
65000,新北市,65000100,淡水區,91.64,2.2,2607.77,37.94,15.59,22.35,143.34,110Y06M
65000,新北市,65000110,汐止區,94.77,2.25,2885.88,33.56,13.25,20.31,153.32,110Y06M
65000,新北市,65000120,瑞芳區,101.82,2.4,548.68,39.08,12.22,26.86,219.82,110Y06M
65000,新北市,65000130,土城區,96.71,2.65,8052.7,33.56,15.92,17.64,110.76,110Y06M
65000,新北市,65000140,蘆洲區,95.83,2.74,27203.13,33.06,16.91,16.14,95.44,110Y06M
65000,新北市,65000150,五股區,100.93,2.56,2580.06,31.99,15.59,16.4,105.21,110Y06M
65000,新北市,65000160,泰山區,97.26,2.69,4070.71,37.12,18.83,18.28,97.1,110Y06M
65000,新北市,65000170,林口區,94.59,2.47,2269.39,42.09,25.39,16.7,65.8,110Y06M
65000,新北市,65000180,深坑區,99.99,2.41,1153.77,33.44,12.05,21.39,177.52,110Y06M
65000,新北市,65000190,石碇區,120.38,2.21,51.92,43.69,9.47,34.22,361.34,110Y06M
65000,新北市,65000200,坪林區,119.32,2.61,39.14,51.8,10.1,41.7,412.81,110Y06M
65000,新北市,65000210,三芝區,105.55,2.33,340.49,39.59,12.01,27.57,229.47,110Y06M
65000,新北市,65000220,石門區,108.56,2.68,220.99,36.21,10.7,25.51,238.43,110Y06M
65000,新北市,65000230,八里區,99.3,2.52,1007.54,33.86,14.8,19.06,128.8,110Y06M
65000,新北市,65000240,平溪區,127.32,1.95,61.12,54.88,6.86,48.03,700.52,110Y06M
65000,新北市,65000250,雙溪區,119.18,2.25,56.95,52.46,9.39,43.07,458.67,110Y06M
65000,新北市,65000260,貢寮區,104.3,2.69,116.79,40.76,7.53,33.22,440.96,110Y06M
65000,新北市,65000270,金山區,96.47,2.91,425.96,35.06,11.49,23.57,205.04,110Y06M
65000,新北市,65000280,萬里區,99.97,2.85,340.02,40.3,11.97,28.34,236.78,110Y06M
65000,新北市,65000290,烏來區,96.37,3.31,19.72,40.89,18.93,21.96,115.98,110Y06M
63000,臺北市,63000010,松山區,87.71,2.45,21290.29,54.55,22.43,32.12,143.18,110Y06M
63000,臺北市,63000020,信義區,90.38,2.4,18876.22,48.13,16.79,31.34,186.63,110Y06M
63000,臺北市,63000030,大安區,87.16,2.47,26220.27,58.41,24.08,34.33,142.55,110Y06M
63000,臺北市,63000040,中山區,86.33,2.2,16118.87,47.7,17.52,30.18,172.23,110Y06M
63000,臺北市,63000050,中正區,90.77,2.34,20200.86,55.44,25.22,30.23,119.87,110Y06M
63000,臺北市,63000060,大同區,93.77,2.35,21640.76,48.05,18.8,29.24,155.54,110Y06M
63000,臺北市,63000070,萬華區,95.62,2.28,20330.43,45.88,14.46,31.41,217.18,110Y06M
63000,臺北市,63000080,文山區,91.45,2.47,8427.66,44.09,18.86,25.23,133.83,110Y06M
63000,臺北市,63000090,南港區,94.9,2.45,5376.47,42.21,17.61,24.6,139.68,110Y06M
63000,臺北市,63000100,內湖區,90.96,2.55,8869.46,41.19,19.9,21.29,106.94,110Y06M
63000,臺北市,63000110,士林區,92.97,2.55,4405.69,47.96,17.91,30.04,167.73,110Y06M
63000,臺北市,63000120,北投區,92.15,2.53,4363.09,46.7,19.26,27.45,142.51,110Y06M
68000,桃園市,68000010,桃園區,93.4,2.55,13177.14,38.67,20.69,17.98,86.91,110Y06M
68000,桃園市,68000020,中壢區,96,2.6,5523.55,38.89,20.44,18.45,90.27,110Y06M
68000,桃園市,68000030,大溪區,103.35,2.78,906.49,39.88,18.46,21.43,116.1,110Y06M
68000,桃園市,68000040,楊梅區,100.6,2.77,1975.41,37.51,20.22,17.3,85.55,110Y06M
68000,桃園市,68000050,蘆竹區,97.96,2.71,2207.58,37.22,21.93,15.28,69.68,110Y06M
68000,桃園市,68000060,大園區,103.61,2.61,1072.92,36.98,19.32,17.66,91.4,110Y06M
68000,桃園市,68000070,龜山區,98.36,2.48,2298.06,37.21,18.65,18.56,99.56,110Y06M
68000,桃園市,68000080,八德區,98.8,2.72,6211.72,38.33,20.16,18.18,90.16,110Y06M
68000,桃園市,68000090,龍潭區,99.38,2.8,1653.59,39.22,18.89,20.34,107.67,110Y06M
68000,桃園市,68000100,平鎮區,97.96,2.8,4788.94,38.29,20.35,17.94,88.14,110Y06M
68000,桃園市,68000110,新屋區,113.32,2.83,579.08,42.4,16.48,25.92,157.34,110Y06M
68000,桃園市,68000120,觀音區,107.06,2.74,787.52,36.11,17.97,18.14,100.94,110Y06M
68000,桃園市,68000130,復興區,115.95,3.21,35.29,39.88,21.35,18.53,86.82,110Y06M
66000,臺中市,66000010,中區,98.04,2.26,20463.48,61,28.94,32.06,110.78,110Y06M
66000,臺中市,66000020,東區,97.86,2.61,8131.6,39.3,16.09,23.21,144.3,110Y06M
66000,臺中市,66000030,南區,91.57,2.51,18586.8,34.87,17.45,17.42,99.8,110Y06M
66000,臺中市,66000040,西區,89.8,2.46,19978.44,45.52,20.62,24.9,120.76,110Y06M
66000,臺中市,66000050,北區,90.98,2.4,21012.74,41.07,16.68,24.39,146.2,110Y06M
66000,臺中市,66000060,西屯區,91.77,2.56,5811.45,37.39,20.99,16.4,78.12,110Y06M
66000,臺中市,66000070,南屯區,91.27,2.62,5657.82,36.32,21.7,14.61,67.34,110Y06M
66000,臺中市,66000080,北屯區,91.19,2.65,4618.3,37.7,19.96,17.75,88.92,110Y06M
66000,臺中市,66000090,豐原區,97.12,3,4022.56,42.12,20.03,22.09,110.25,110Y06M
66000,臺中市,66000100,東勢區,104.75,2.8,416.01,45.93,14.78,31.15,210.69,110Y06M
66000,臺中市,66000110,大甲區,100.6,3.17,1296.6,42.22,20.19,22.02,109.05,110Y06M
66000,臺中市,66000120,清水區,104.33,2.97,1375.19,40.73,18.52,22.22,119.98,110Y06M
66000,臺中市,66000130,沙鹿區,101.18,3.02,2359.49,40.65,23.17,17.48,75.46,110Y06M
66000,臺中市,66000140,梧棲區,100.21,3.09,3580.09,38.5,20.6,17.89,86.86,110Y06M
66000,臺中市,66000150,后里區,102.28,3.21,918.38,41.64,18.97,22.67,119.49,110Y06M
66000,臺中市,66000160,神岡區,104.04,3.22,1860.66,37.7,17.39,20.31,116.76,110Y06M
66000,臺中市,66000170,潭子區,97.07,2.9,4222.45,35.2,18.12,17.08,94.23,110Y06M
66000,臺中市,66000180,大雅區,98.69,3.12,2955.8,35.45,20.11,15.34,76.3,110Y06M
66000,臺中市,66000190,新社區,106.64,3.08,347.09,43.85,14.57,29.27,200.91,110Y06M
66000,臺中市,66000200,石岡區,106.37,2.93,798.28,41.64,13.38,28.27,211.29,110Y06M
66000,臺中市,66000210,外埔區,103.92,3.19,749.52,36.75,15.73,21.02,133.64,110Y06M
66000,臺中市,66000220,大安區,112.09,3.32,683.14,38.32,13.71,24.61,179.57,110Y06M
66000,臺中市,66000230,烏日區,99.8,2.86,1770.68,38.01,19.31,18.7,96.86,110Y06M
66000,臺中市,66000240,大肚區,103.7,3.06,1529.58,37.82,17.17,20.65,120.28,110Y06M
66000,臺中市,66000250,龍井區,100.97,3.2,2052.67,35.44,18.64,16.81,90.17,110Y06M
66000,臺中市,66000260,霧峰區,102.6,3.1,661.64,39.55,16.65,22.9,137.49,110Y06M
66000,臺中市,66000270,太平區,97.56,2.86,1617.67,36.6,18.92,17.67,93.41,110Y06M
66000,臺中市,66000280,大里區,95.71,2.91,7366.93,36.91,19.89,17.02,85.59,110Y06M
66000,臺中市,66000290,和平區,115.85,2.33,10.43,41.12,14.38,26.75,186.04,110Y06M
67000,臺南市,67000010,新營區,97.32,2.58,1974.07,43.61,17.58,26.02,148,110Y06M
67000,臺南市,67000020,鹽水區,108.94,2.45,476.79,44.04,13.3,30.74,231.13,110Y06M
67000,臺南市,67000030,白河區,109.14,2.52,213.77,51.87,12.04,39.83,330.86,110Y06M
67000,臺南市,67000040,柳營區,108.24,2.59,338.96,43.38,11.77,31.61,268.68,110Y06M
67000,臺南市,67000050,後壁區,107.42,2.57,312.37,51.17,10.99,40.18,365.61,110Y06M
67000,臺南市,67000060,東山區,114.23,2.42,159.71,47.62,10.6,37.03,349.44,110Y06M
67000,臺南市,67000070,麻豆區,103.08,2.71,808.92,45.59,15.89,29.7,186.87,110Y06M
67000,臺南市,67000080,下營區,107.11,2.48,693.76,46.98,13.44,33.54,249.55,110Y06M
67000,臺南市,67000090,六甲區,107.2,2.71,319.63,43.49,14.29,29.2,204.37,110Y06M
67000,臺南市,67000100,官田區,103.68,2.6,298.58,37.64,12.04,25.6,212.66,110Y06M
67000,臺南市,67000110,大內區,116.86,2.46,129.51,50.74,10.25,40.49,395.15,110Y06M
67000,臺南市,67000120,佳里區,97.48,2.76,1504.64,41.01,16.23,24.77,152.63,110Y06M
67000,臺南市,67000130,學甲區,105,2.57,465.88,39.57,12.36,27.21,220.11,110Y06M
67000,臺南市,67000140,西港區,102.14,2.88,726.16,38.75,13.65,25.1,183.8,110Y06M
67000,臺南市,67000150,七股區,107.65,2.77,200.07,43.43,12.86,30.57,237.7,110Y06M
67000,臺南市,67000160,將軍區,103.79,2.64,451.72,41.93,9.45,32.48,343.9,110Y06M
67000,臺南市,67000170,北門區,100.79,2.55,237.57,37.08,9.54,27.54,288.75,110Y06M
67000,臺南市,67000180,新化區,102.97,2.89,694.35,40.17,14.76,25.4,172.1,110Y06M
67000,臺南市,67000190,善化區,101.53,2.63,922.48,44.86,22.59,22.26,98.54,110Y06M
67000,臺南市,67000200,新市區,100.56,2.81,789.13,39.15,19.7,19.46,98.78,110Y06M
67000,臺南市,67000210,安定區,106.14,2.87,968.53,37.12,14.82,22.29,150.4,110Y06M
67000,臺南市,67000220,山上區,111.6,2.6,253.28,42.82,11.19,31.63,282.82,110Y06M
67000,臺南市,67000230,玉井區,107.2,2.62,176.77,48.24,12.22,36.02,294.7,110Y06M
67000,臺南市,67000240,楠西區,111.07,2.61,83.15,47.27,10.57,36.7,347.4,110Y06M
67000,臺南市,67000250,南化區,117.23,2.95,48.51,49.16,11.87,37.29,314.2,110Y06M
67000,臺南市,67000260,左鎮區,129.75,2.36,59.9,53.72,8.12,45.6,561.6,110Y06M
67000,臺南市,67000270,仁德區,101.87,2.65,1498.73,37.67,15.76,21.91,139.03,110Y06M
67000,臺南市,67000280,歸仁區,102.13,2.91,1220.12,37.73,17.48,20.25,115.82,110Y06M
67000,臺南市,67000290,關廟區,105.16,2.93,633.63,41.56,13.23,28.32,214.07,110Y06M
67000,臺南市,67000300,龍崎區,118.09,2.5,58.33,50.36,6.56,43.81,668.1,110Y06M
67000,臺南市,67000310,永康區,96.47,2.67,5844.4,34.42,17.82,16.6,93.19,110Y06M
67000,臺南市,67000320,東區,91.45,2.51,13709.79,42.27,19.72,22.55,114.33,110Y06M
