縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,90.28,2.4,25840.52,49.59,21.57,28.03,129.96,111Y06M
65000,新北市,65000010,板橋區,65000010-002,流芳里,84.34,2.34,32769.22,55.32,24.89,30.43,122.22,111Y06M
65000,新北市,65000010,板橋區,65000010-003,赤松里,89.87,2.13,64738.89,49.57,23.5,26.07,110.91,111Y06M
65000,新北市,65000010,板橋區,65000010-004,黃石里,90.54,2.45,13110.98,60.42,32.11,28.31,88.17,111Y06M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,95.83,2.29,15903.28,58.21,25.45,32.76,128.71,111Y06M
65000,新北市,65000010,板橋區,65000010-006,湳興里,91.1,2.29,27369.14,41.17,15.51,25.66,165.43,111Y06M
65000,新北市,65000010,板橋區,65000010-007,新興里,87.93,2.06,34855.55,38.99,12.13,26.86,221.43,111Y06M
65000,新北市,65000010,板橋區,65000010-008,社後里,131.58,1.73,56453.35,39.26,9.24,30.02,325.08,111Y06M
65000,新北市,65000010,板橋區,65000010-009,香社里,96.7,2.51,16794.84,37.66,14.26,23.4,164.04,111Y06M
65000,新北市,65000010,板橋區,65000010-010,中正里,95.27,2.23,7744.89,37.1,19.11,17.98,94.1,111Y06M
65000,新北市,65000010,板橋區,65000010-011,自強里,94.5,2.46,60691.46,61.54,20.3,41.24,203.14,111Y06M
65000,新北市,65000010,板橋區,65000010-012,自立里,90.81,2.5,55646.25,46.16,14.61,31.55,215.94,111Y06M
65000,新北市,65000010,板橋區,65000010-013,光華里,94.56,2.34,45357.5,44.28,14.91,29.38,197.04,111Y06M
65000,新北市,65000010,板橋區,65000010-014,國光里,91.88,2.37,79555.46,43,10.32,32.67,316.48,111Y06M
65000,新北市,65000010,板橋區,65000010-015,港尾里,93.63,2.63,71231.4,43.15,19.59,23.56,120.3,111Y06M
65000,新北市,65000010,板橋區,65000010-016,金華里,93.02,2.66,59087.88,47.61,18.53,29.08,157,111Y06M
65000,新北市,65000010,板橋區,65000010-017,港德里,94.13,2.46,70094.78,48.33,15.92,32.41,203.57,111Y06M
65000,新北市,65000010,板橋區,65000010-018,民權里,93.58,2.42,58506.25,53.87,17.17,36.69,213.65,111Y06M
65000,新北市,65000010,板橋區,65000010-019,建國里,89.71,2.46,52897.6,45.39,16.06,29.33,182.6,111Y06M
65000,新北市,65000010,板橋區,65000010-020,漢生里,93.49,2.53,37980.91,63.36,27.14,36.22,133.43,111Y06M
65000,新北市,65000010,板橋區,65000010-021,公■里,97.85,2.6,51225.18,48.07,20.88,27.18,130.16,111Y06M
65000,新北市,65000010,板橋區,65000010-022,新民里,95.45,2.59,14642.47,56.69,27.05,29.64,109.59,111Y06M
65000,新北市,65000010,板橋區,65000010-023,幸福里,94,2.56,37191.19,42.77,15.66,27.11,173.14,111Y06M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,90.31,2.46,33826.94,54.52,24.06,30.46,126.6,111Y06M
65000,新北市,65000010,板橋區,65000010-025,百壽里,85.75,2.4,54915.28,58.66,31.1,27.56,88.62,111Y06M
65000,新北市,65000010,板橋區,65000010-026,介壽里,90.56,2.5,39424.57,58.79,27.38,31.41,114.73,111Y06M
65000,新北市,65000010,板橋區,65000010-027,新埔里,93.93,2.32,33581.97,45.9,13.49,32.41,240.21,111Y06M
65000,新北市,65000010,板橋區,65000010-028,華江里,86.49,2.39,64411.18,49.53,28.95,20.57,71.05,111Y06M
65000,新北市,65000010,板橋區,65000010-029,江翠里,97.56,2.41,37788.35,40.22,15,25.22,168.11,111Y06M
65000,新北市,65000010,板橋區,65000010-030,純翠里,90.62,2.54,50546.69,41.65,16.32,25.33,155.24,111Y06M
65000,新北市,65000010,板橋區,65000010-031,溪頭里,93.72,2.21,9690.6,36.4,16.65,19.75,118.58,111Y06M
65000,新北市,65000010,板橋區,65000010-032,聯翠里,87.64,2.21,55470.84,36.58,11.86,24.72,208.46,111Y06M
65000,新北市,65000010,板橋區,65000010-033,宏翠里,88.56,2.17,12279.83,35.38,15.89,19.49,122.69,111Y06M
65000,新北市,65000010,板橋區,65000010-034,仁翠里,95.43,2.59,70167.27,47.45,14.98,32.48,216.84,111Y06M
65000,新北市,65000010,板橋區,65000010-035,新翠里,89.02,2.5,65493.39,38.24,16.43,21.81,132.72,111Y06M
65000,新北市,65000010,板橋區,65000010-036,吉翠里,94.08,2.7,68391.14,44.73,18.27,26.46,144.79,111Y06M
65000,新北市,65000010,板橋區,65000010-037,德翠里,95.58,2.69,55266.07,33.5,16.61,16.89,101.65,111Y06M
65000,新北市,65000010,板橋區,65000010-038,滿翠里,91.4,2.58,50268.69,45.35,14.22,31.13,218.84,111Y06M
