縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數
"65000","新北市","65000010","板橋區","65000010-001","留侯里",88.90,2.40,25950.48,52.87037032141632377600,21.94444442412551442200,30.92592589729080935400,140.9282694475600400
"65000","新北市","65000010","板橋區","65000010-002","流芳里",81.47,2.32,32746.91,55.87606831637172188400,23.50427347916210098400,32.37179483720962090000,137.7272721012396700
"65000","新北市","65000010","板橋區","65000010-003","赤松里",86.18,2.13,67266.35,48.63760211357274916400,23.43324247488659063400,25.20435963868615853000,107.5581389095457000
"65000","新北市","65000010","板橋區","65000010-004","黃石里",92.35,2.44,13100.89,61.88118804222625242300,32.54950491021100877400,29.33168313201524364800,90.11406809842559658400
"65000","新北市","65000010","板橋區","65000010-005","挹秀里",96.34,2.29,15927.93,62.59477669537087051800,25.94776745918469464300,36.64700923618617587500,141.2337657752150500
"65000","新北市","65000010","板橋區","65000010-006","湳興里",91.59,2.31,27694.40,42.81000823678581021800,15.97470442233304800000,26.83530381445276221800,167.9862303477001200
"65000","新北市","65000010","板橋區","65000010-007","新興里",89.06,2.05,35289.91,40.91106288897567770500,12.88503253237091864100,28.02603035660475906400,217.5084167760659400
"65000","新北市","65000010","板橋區","65000010-008","社後里",131.92,1.71,56943.28,41.07787891329607297900,9.13162837608270071100,31.94625053721337226700,349.8417715983516300
"65000","新北市","65000010","板橋區","65000010-009","香社里",97.04,2.50,16787.50,39.03710517048846820900,13.67678625768881132900,25.36031891279965688000,185.4260085528564800
"65000","新北市","65000010","板橋區","65000010-010","中正里",94.64,2.17,8685.45,37.19977657099240801100,19.32601005039545521300,17.87376652059695279800,92.48554904384821864800
"65000","新北市","65000010","板橋區","65000010-011","自強里",95.37,2.44,61243.26,62.85076528608075086500,19.67474489168534920500,43.17602039439540166000,219.4489461597261800
"65000","新北市","65000010","板橋區","65000010-012","自立里",90.19,2.46,55464.53,47.08711916243339435500,14.32389095974137308400,32.76322820269202127100,228.7313424301069300
"65000","新北市","65000010","板橋區","65000010-013","光華里",96.54,2.34,45305.42,46.62921345694988008000,14.43820223907966166300,32.19101121787021841700,222.9571975760420300
"65000","新北市","65000010","板橋區","65000010-014","國光里",93.15,2.37,79995.57,44.87843760666463228100,10.28298126333878785800,34.59545634332584442300,336.4341072231236200
"65000","新北市","65000010","板橋區","65000010-015","港尾里",91.34,2.62,71745.00,44.04119664343246854200,19.22511033878121121200,24.81608630465125733000,129.0816323237713500
"65000","新北市","65000010","板橋區","65000010-016","金華里",93.42,2.62,58004.77,48.87704604153900036500,17.43433573755830386800,31.44271030398069649600,180.3493445843900800
"65000","新北市","65000010","板橋區","65000010-017","港德里",96.00,2.46,70303.16,49.28684626013095205700,15.91125197593938130700,33.37559428419157075000,209.7609557574483000
"65000","新北市","65000010","板橋區","65000010-018","民權里",92.82,2.41,60422.98,57.06836613147835102500,19.17728851727851186700,37.89107761419983915700,197.5830809740692400
"65000","新北市","65000010","板橋區","65000010-019","建國里",90.21,2.46,52776.27,46.46166805119559054300,15.83824767656350140000,30.62342037463208914300,193.3510633155556800
"65000","新北市","65000010","板橋區","65000010-020","漢生里",92.10,2.51,39339.60,66.57834970984922418200,28.23618469786669769200,38.34216501198252649100,135.7908845364733500
"65000","新北市","65000010","板橋區","65000010-021","公?里",97.26,2.56,51302.50,50.09487664133021759300,21.32827323668756233900,28.76660340464265525400,134.8754445998657600
"65000","新北市","65000010","板橋區","65000010-022","新民里",94.20,2.57,14701.36,60.07130122635604234400,27.98573974046854198200,32.08556148588750036200,114.6496813826118700
"65000","新北市","65000010","板橋區","65000010-023","幸福里",92.50,2.51,36850.23,43.23550463735307636500,15.10379383854552833300,28.13171079880754803200,186.2559237292513700
"65000","新北市","65000010","板橋區","65000010-024","忠誠里",89.50,2.47,34319.88,56.27227367916169861800,24.26942265706720504000,32.00285102209449357700,131.8649043584950000
"65000","新北市","65000010","板橋區","65000010-025","百壽里",86.10,2.39,55397.85,59.28495194275082607100,30.14941300418921397900,29.13553893856161209300,96.63716797055368500800
"65000","新北市","65000010","板橋區","65000010-026","介壽里",92.58,2.45,40413.05,58.89212825126718743900,27.55102039477598620300,31.34110785649120123600,113.7566135559848100
"65000","新北市","65000010","板橋區","65000010-027","新埔里",94.68,2.35,33680.39,45.80369840270007226000,12.80227595106523758800,33.00142245163483467200,257.7777763456790200
"65000","新北市","65000010","板橋區","65000010-028","華江里",85.64,2.36,65292.55,50.49865745099757241100,27.88645952668077109200,22.61219792431680131900,81.08665744079322046700
